epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.299,1.06522,2.25849,1.23064,0.59671,0.85,0.79739,0.61198,1.61711,1.10386,1.37209,0,0,0
2,15.6825,1.21132,2.89651,1.4912,0.59671,0.85,0.79739,0.61439,1.61711,1.10386,1.37209,3.77032e-05,3.77032e-05,3.77032e-05
3,16.0733,0.94106,2.34913,1.22516,0.59671,0.85,0.79739,0.61439,1.61711,1.10386,1.37209,7.14793e-05,7.14793e-05,7.14793e-05
4,16.4501,1.38836,2.22974,1.75351,0.61957,0.85,0.80298,0.61232,1.63548,1.07715,1.37665,0.000101329,0.000101329,0.000101329
5,16.816,1.38888,2.98589,1.85934,0.61957,0.85,0.80298,0.61232,1.63548,1.07715,1.37665,9.5438e-05,9.5438e-05,9.5438e-05
6,17.1831,1.01475,2.95169,1.47079,0.61957,0.85,0.80298,0.61232,1.63548,1.07715,1.37665,8.95475e-05,8.95475e-05,8.95475e-05
7,17.5659,1.31168,2.69575,1.57851,0.61529,0.85,0.80268,0.60765,1.62931,1.0677,1.36381,8.3657e-05,8.3657e-05,8.3657e-05
8,17.9308,1.37296,2.62031,1.50767,0.61529,0.85,0.80268,0.60765,1.62931,1.0677,1.36381,7.77665e-05,7.77665e-05,7.77665e-05
9,18.2988,1.42708,3.14327,1.54894,0.61529,0.85,0.80268,0.60765,1.62931,1.0677,1.36381,7.1876e-05,7.1876e-05,7.1876e-05
10,18.675,1.0429,2.26721,1.39218,0.60779,0.85,0.81034,0.6037,1.59554,1.05689,1.32954,6.59855e-05,6.59855e-05,6.59855e-05
11,19.0678,0.91312,1.80941,1.38417,0.60779,0.85,0.81034,0.6037,1.59554,1.05689,1.32954,6.0095e-05,6.0095e-05,6.0095e-05
12,19.451,0.86283,1.62567,1.24583,0.60779,0.85,0.81034,0.6037,1.59554,1.05689,1.32954,5.42045e-05,5.42045e-05,5.42045e-05
13,19.8733,0.98961,1.70994,1.32329,0.63009,0.85,0.85657,0.63632,1.57402,1.02286,1.31474,4.8314e-05,4.8314e-05,4.8314e-05
14,20.3827,0.90471,1.65558,1.34823,0.63009,0.85,0.85657,0.63632,1.57402,1.02286,1.31474,4.24235e-05,4.24235e-05,4.24235e-05
15,20.8788,0.84626,1.26958,1.07014,0.63009,0.85,0.85657,0.63632,1.57402,1.02286,1.31474,3.6533e-05,3.6533e-05,3.6533e-05
16,21.6237,0.77819,1.12753,1.0621,0.63595,0.85,0.85977,0.63734,1.53718,1.02506,1.30175,3.06425e-05,3.06425e-05,3.06425e-05
17,22.1341,0.64591,1.22667,1.09298,0.63595,0.85,0.85977,0.63734,1.53718,1.02506,1.30175,2.4752e-05,2.4752e-05,2.4752e-05
18,22.6519,0.91655,1.29946,1.18214,0.63595,0.85,0.85977,0.63734,1.53718,1.02506,1.30175,1.88615e-05,1.88615e-05,1.88615e-05
19,23.1776,0.85823,1.16226,1.11936,0.65994,0.85,0.85131,0.63553,1.52064,1.03095,1.30118,1.2971e-05,1.2971e-05,1.2971e-05
20,23.6688,0.88943,1.43151,1.37837,0.65994,0.85,0.85131,0.63553,1.52064,1.03095,1.30118,7.0805e-06,7.0805e-06,7.0805e-06
